number,value,state,params_batch_size,params_beta1_d,params_beta1_g,params_beta2_d,params_beta2_g,params_lr_d,params_lr_g
45,470.6335780505808,COMPLETE,32,0.7536166754162934,0.4394702404761127,0.824058160708106,0.9501432789186703,0.0013080753311912772,0.004707694685689724
46,467.51286597273105,COMPLETE,128,0.49193565142213513,0.2992269541687696,0.7817850387616679,0.8687708672339324,0.003815348033943339,0.0038602306211116405
47,427.9717052919561,COMPLETE,64,0.5865699626947836,0.6946003952049409,0.8886146911544385,0.8075271493087687,0.004724558834412571,0.006812389405683078
48,527.016321747168,COMPLETE,32,0.6959642171627041,0.2177034427121165,0.9194424248832983,0.7268632929596172,0.0030925388068135866,0.00812087380642653
49,406.0728351188987,COMPLETE,32,0.34624591995107623,0.8424978761054537,0.7154283681272942,0.7814648444820724,0.0005221675659871359,0.004788836765767785
50,436.6298126476528,COMPLETE,32,0.03121407684134752,0.39818656078813947,0.8656823276951721,0.6733535495933491,0.0019372350435581968,0.004359526901928327
51,365.61196474789324,COMPLETE,32,0.6503104033654254,0.09702756432213588,0.8534509700385601,0.745194950960484,0.002022853286199066,0.006092145879508565
52,490.91510410543464,COMPLETE,32,0.642028549307286,0.11326146452628408,0.8038425850515767,0.7395950313211891,0.0022936116841762197,0.009222309199492212
53,399.7327980287641,COMPLETE,32,0.7946333029286708,0.25243569860129017,0.8433349114134335,0.6333490845286195,0.003946494219244283,0.0062672713507927556
54,384.3089977429791,COMPLETE,32,0.5380508268492662,0.033310957974044764,0.9054079868511893,0.7555966007329105,0.0031979349458124365,0.006030309418612495
55,375.84073021111584,COMPLETE,32,0.6334222585139736,0.5472654427388616,0.7545844893327849,0.8137942381066833,0.0008756938364243215,0.005447855139560982
56,149.63782560831862,COMPLETE,32,0.6177642460415782,0.18521804804270395,0.9701916606242013,0.9124628797757849,0.00026398124916180793,0.005516024485143059
57,518.3491097400225,COMPLETE,32,0.784948529671837,0.18926727907741514,0.9618007180803694,0.9096920891198143,0.0002864689276281785,0.0048165169188449574
58,406.22977813454725,COMPLETE,64,0.9765289399501822,0.09815201503410945,0.9291681849657945,0.9700361744357162,0.0012473621017387612,0.0051557259815504545
59,146.7297047330922,COMPLETE,32,0.7094395859912074,0.06869212239107096,0.9682943477450967,0.8854619835263324,0.00019152069198066692,0.0038898709252005214
